time,Filtered_Torque_Signal
5.208134651184082031e-02,9.964465458769704298e-02
6.107091903686523438e-02,1.007052890932460254e-01
6.952071189880371094e-02,1.017516738631089185e-01
7.900834083557128906e-02,1.028212707954921368e-01
8.800983428955078125e-02,1.038907381907544641e-01
9.700870513916015625e-02,1.049860699552646742e-01
1.080150604248046875e-01,1.060686047813334809e-01
1.175575256347656250e-01,1.071516872229350131e-01
1.279802322387695312e-01,1.082347129350920284e-01
1.359806060791015625e-01,1.093270542935743661e-01
1.450066566467285156e-01,1.103834481639484055e-01
1.540224552154541016e-01,1.114584981034349026e-01
1.619801521301269531e-01,1.125263525241126661e-01
1.729810237884521484e-01,1.135989164333379986e-01
1.829881668090820312e-01,1.146782419196481356e-01
1.919801235198974609e-01,1.157811653084982462e-01
2.010159492492675781e-01,1.168802817378474523e-01
2.089819908142089844e-01,1.179815321096532865e-01
2.185428142547607422e-01,1.190745096275969139e-01
2.274856567382812500e-01,1.201810848966400891e-01
2.364852428436279297e-01,1.213206103025221277e-01
2.484877109527587891e-01,1.224129227334383452e-01
2.574851512908935547e-01,1.234847371886187151e-01
2.654852867126464844e-01,1.245663312911025472e-01
2.744853496551513672e-01,1.256363856687584823e-01
2.844870090484619141e-01,1.267184897499868679e-01
2.935473918914794922e-01,1.278245623501120254e-01
3.017365932464599609e-01,1.289327547524404260e-01
3.117365837097167969e-01,1.300357019146584359e-01
3.194286823272705078e-01,1.311365406996844729e-01
3.294279575347900391e-01,1.322256761602776387e-01
3.384318351745605469e-01,1.333173758954195598e-01
3.474278450012207031e-01,1.344365731570343614e-01
3.564288616180419922e-01,1.355394749365278761e-01
3.654294013977050781e-01,1.366375678502307900e-01
3.744277954101562500e-01,1.377131968048794231e-01
3.824286460876464844e-01,1.388008839661772353e-01
3.924601078033447266e-01,1.398594861422526592e-01
4.004409313201904297e-01,1.409164705735849177e-01
4.094316959381103516e-01,1.419793265504255553e-01
4.181265830993652344e-01,1.430565430536744620e-01
4.281275272369384766e-01,1.441441536451139871e-01
4.371268749237060547e-01,1.452342259868754648e-01
4.451270103454589844e-01,1.463280561831537818e-01
4.551324844360351562e-01,1.474232190050619173e-01
4.631273746490478516e-01,1.485192949702533738e-01
4.734809398651123047e-01,1.496268450682707307e-01
4.824812412261962891e-01,1.507426540110958502e-01
4.914801120758056641e-01,1.518696919645375898e-01
4.994850158691406250e-01,1.530008234156406410e-01
5.094931125640869141e-01,1.541373158733020110e-01
5.182864665985107422e-01,1.552638052897677701e-01
5.282866954803466797e-01,1.563844536315470157e-01
5.372869968414306641e-01,1.575055452262242306e-01
5.462865829467773438e-01,1.586417290295610572e-01
5.593047142028808594e-01,1.597771520982977367e-01
5.694270133972167969e-01,1.609091540403619347e-01
5.774118900299072266e-01,1.620338453860789840e-01
5.874149799346923828e-01,1.632001334555527317e-01
5.964114665985107422e-01,1.643762790954225728e-01
6.054143905639648438e-01,1.655661564950937081e-01
6.139159202575683594e-01,1.667629829590810409e-01
6.239402294158935547e-01,1.679718186265538038e-01
6.319181919097900391e-01,1.691907158097487873e-01
6.419200897216796875e-01,1.704350562869712815e-01
6.499180793762207031e-01,1.716897671214157595e-01
6.589176654815673828e-01,1.729528478071576114e-01
6.690208911895751953e-01,1.742577042776955465e-01
6.789200305938720703e-01,1.755628208935415546e-01
6.879196166992187500e-01,1.768852061799917330e-01
6.969189643859863281e-01,1.782085092803771254e-01
7.079207897186279297e-01,1.795302405904412313e-01
7.165298461914062500e-01,1.808641947166293173e-01
7.264814376831054688e-01,1.822068455732093473e-01
7.344281673431396484e-01,1.835561235542928493e-01
7.444283962249755859e-01,1.848938240644842634e-01
7.524290084838867188e-01,1.862333803911987162e-01
7.624275684356689453e-01,1.875661239175559769e-01
7.714281082153320312e-01,1.889107004647243016e-01
7.824280261993408203e-01,1.902597513385317629e-01
7.924301624298095703e-01,1.916255559249333551e-01
8.004636764526367188e-01,1.930160204759853171e-01
8.094635009765625000e-01,1.944281254525365710e-01
8.181495666503906250e-01,1.958321251411119235e-01
8.271739482879638672e-01,1.972417567988585529e-01
8.361678123474121094e-01,1.986514528958099601e-01
8.451509475708007812e-01,2.000714259084476476e-01
8.531494140625000000e-01,2.015161327964561655e-01
8.631963729858398438e-01,2.029492028967742334e-01
8.732361793518066406e-01,2.043978993152664458e-01
8.811495304107666016e-01,2.058515159519409554e-01
8.901491165161132812e-01,2.073344896685198613e-01
8.991577625274658203e-01,2.088444702712688172e-01
9.092488288879394531e-01,2.103683322393657684e-01
9.176654815673828125e-01,2.118965763695833115e-01
9.266629219055175781e-01,2.134475090957659860e-01
9.356622695922851562e-01,2.150020561308279288e-01
9.446628093719482422e-01,2.165772808375507064e-01
9.536709785461425781e-01,2.181830664500808425e-01
9.636626243591308594e-01,2.198179663694393438e-01
9.726648330688476562e-01,2.214688335258481466e-01
9.806654453277587891e-01,2.231573131230397133e-01
9.896647930145263672e-01,2.248668317647784798e-01
9.976625442504882812e-01,2.266020179318717354e-01
1.007676124572753906e+00,2.283624919091290784e-01
1.016181230545043945e+00,2.301592251979655279e-01
1.025179624557495117e+00,2.319860813609052330e-01
1.033179998397827148e+00,2.338361779345612401e-01
1.043179988861083984e+00,2.357129974873277134e-01
1.051179647445678711e+00,2.376015278937877728e-01
1.060179233551025391e+00,2.395203602213168970e-01
1.069640398025512695e+00,2.414070348189303328e-01
1.078640460968017578e+00,2.432591143102691422e-01
1.087640285491943359e+00,2.451180290007279050e-01
1.097638607025146484e+00,2.469684724822963084e-01
1.106677055358886719e+00,2.487882326286030010e-01
1.115183830261230469e+00,2.506039059656972046e-01
1.124183654785156250e+00,2.523988936601340161e-01
1.133186578750610352e+00,2.541945385613055830e-01
1.143184900283813477e+00,2.559873882706767967e-01
1.151381492614746094e+00,2.577662997840385328e-01
1.161382675170898438e+00,2.595772187357756056e-01
1.170381784439086914e+00,2.613739016886665878e-01
1.178381919860839844e+00,2.631763759660751822e-01
1.188382148742675781e+00,2.649734302083703863e-01
1.197381973266601562e+00,2.667324811969440934e-01
1.207383394241333008e+00,2.684747631473674567e-01
1.215893268585205078e+00,2.702100346233093364e-01
1.224909305572509766e+00,2.719256789413042608e-01
1.233895301818847656e+00,2.736320616578033493e-01
1.247494459152221680e+00,2.753147276949499123e-01
1.255440235137939453e+00,2.769803276020539884e-01
1.263441085815429688e+00,2.786282889837798371e-01
1.273439884185791016e+00,2.802552265618560856e-01
1.282439708709716797e+00,2.818203196765472485e-01
1.291439771652221680e+00,2.833291864563878271e-01
1.299439668655395508e+00,2.848070318052966510e-01
1.308612585067749023e+00,2.862975304867187432e-01
1.318275213241577148e+00,2.877800913251681858e-01
1.327231168746948242e+00,2.892420911230448310e-01
1.336231708526611328e+00,2.906639126706290766e-01
1.345231294631958008e+00,2.921200438973299285e-01
1.354248046875000000e+00,2.935884054016635325e-01
1.363233804702758789e+00,2.950741361605018764e-01
1.373233079910278320e+00,2.965823519236052697e-01
1.381231546401977539e+00,2.981582580882311539e-01
1.391231060028076172e+00,2.997642436282406675e-01
1.399239063262939453e+00,3.013788915781595579e-01
1.408245563507080078e+00,3.030005720231410127e-01
1.416750669479370117e+00,3.046399035324263704e-01
1.425750732421875000e+00,3.063275094395222498e-01
1.434750795364379883e+00,3.079999643409237486e-01
1.443750619888305664e+00,3.096918488824726423e-01
1.451751947402954102e+00,3.114032222513978265e-01
1.460751533508300781e+00,3.131423122363128919e-01
1.470752000808715820e+00,3.149420196119842030e-01
1.479750633239746094e+00,3.167666514086565632e-01
1.488751173019409180e+00,3.186069764904724266e-01
1.498750209808349609e+00,3.204820867989320865e-01
1.507753849029541016e+00,3.223507002016614553e-01
1.516256809234619141e+00,3.242602221101361093e-01
1.525256633758544922e+00,3.261515660111533599e-01
1.533257007598876953e+00,3.280720578326494219e-01
1.542315006256103516e+00,3.299992673088697481e-01
1.550257444381713867e+00,3.319740699265579242e-01
1.560257434844970703e+00,3.339813087944484837e-01
1.568257570266723633e+00,3.359817126163101020e-01
1.578257560729980469e+00,3.379998201055205431e-01
1.587258100509643555e+00,3.400292090321734850e-01
1.595256805419921875e+00,3.420937612321405252e-01
1.605348587036132812e+00,3.441714136013288572e-01
1.613350152969360352e+00,3.462799326726062610e-01
1.623917579650878906e+00,3.484338344406715526e-01
1.631871700286865234e+00,3.506244683153479924e-01
1.642896890640258789e+00,3.528148154817584703e-01
1.650880098342895508e+00,3.550378211730021438e-01
1.659883737564086914e+00,3.573116568581023444e-01
1.669279336929321289e+00,3.596393969175007976e-01
1.678278923034667969e+00,3.620128695011622932e-01
1.687278985977172852e+00,3.644018382361256525e-01
1.695279359817504883e+00,3.668116681273112523e-01
1.705301284790039062e+00,3.692674909145853279e-01
1.713308334350585938e+00,3.717523234624735551e-01
1.722824335098266602e+00,3.742734879865551867e-01
1.730823993682861328e+00,3.768150115151067681e-01
1.740823507308959961e+00,3.793630221711704054e-01
1.749869823455810547e+00,3.819708038879198186e-01
1.757823705673217773e+00,3.846226018462465812e-01
1.766823768615722656e+00,3.873247388416494741e-01
1.775825500488281250e+00,3.900791544522826948e-01
1.783823728561401367e+00,3.928742967964701793e-01
1.792838096618652344e+00,3.957216321513040147e-01
1.802841186523437500e+00,3.986104366358507733e-01
1.810825824737548828e+00,4.015633862673936849e-01
1.820328950881958008e+00,4.045747927392130405e-01
1.829330444335937500e+00,4.076265180836771140e-01
1.837498664855957031e+00,4.107146222182490036e-01
1.846499443054199219e+00,4.138451342610044992e-01
1.856556177139282227e+00,4.170370833909417541e-01
1.864499807357788086e+00,4.203067425506501475e-01
1.874499559402465820e+00,4.236386147992624029e-01
1.882504463195800781e+00,4.269951255708464011e-01
1.891499042510986328e+00,4.303743532538937822e-01
1.900500774383544922e+00,4.338089383472832905e-01
1.909500360488891602e+00,4.372926499653450039e-01
1.917002677917480469e+00,4.408276604736953153e-01
1.927006244659423828e+00,4.443983672030584753e-01
1.935007095336914062e+00,4.479931621028990785e-01
1.945002555847167969e+00,4.516035104869273731e-01
1.953003644943237305e+00,4.552529294986748520e-01
1.963002920150756836e+00,4.589395226067323197e-01
1.972012996673583984e+00,4.626757101777651537e-01
1.981002569198608398e+00,4.664625595444278350e-01
1.990002870559692383e+00,4.702636061189910399e-01
1.999003648757934570e+00,4.741028323264326882e-01
2.008095026016235352e+00,4.779709850305697838e-01
