time,fx,fy,fz,mx,my,mz
3.053665161132812500e-02,2.227716633295268381e-02,1.851193984891826363e-02,9.561207281928810545e-03,2.902568606549375298e-03,1.562240859912640990e-03,5.902343296738296044e-04
3.303408622741699219e-02,2.540381218353857801e-02,2.902635435758374807e-02,2.933819644748941399e-02,3.138082510589986461e-03,1.667413195802325276e-03,1.428470898380851308e-03
3.804445266723632812e-02,1.628687163834807022e-02,1.910525137682507479e-02,1.391304271340629804e-02,2.335388362750438502e-03,6.108904542131643684e-04,1.112565060887445731e-03
4.760265350341796875e-02,6.398773657852660501e-02,1.548968541216027076e-02,3.666495429985446031e-02,2.008178761856231100e-03,6.948574750253181526e-03,1.475519479826677583e-04
5.359864234924316406e-02,9.911552328919200072e-02,4.202327993146421498e-02,1.837840167338834763e-02,4.678042291706733732e-03,1.128904288194026648e-02,1.550366380315152705e-03
6.459593772888183594e-02,9.627144738313890560e-02,6.918747047545963091e-02,6.845513381209637760e-02,7.799618242391007789e-03,9.718865888870794820e-03,9.501128397922719909e-04
7.059574127197265625e-02,6.931305785573868561e-02,8.541702911385300190e-02,1.024292223367938987e-01,9.962483011490696691e-03,7.094866132973720596e-03,5.181733121752370771e-04
8.059573173522949219e-02,3.728812500671688929e-02,1.043196873314040374e-01,6.597805125282198146e-02,1.300940337209486979e-02,3.703719885168510386e-03,2.066447583889038150e-03
9.599494934082031250e-02,6.740947557499753218e-02,1.709659867131785860e-01,7.458425434325140213e-02,2.133208183431515789e-02,7.209044660690441114e-03,3.992487112474811008e-03
1.035413742065429688e-01,5.031941009764710065e-02,1.566655862238922337e-01,1.271486779867982420e-01,2.074918787376714771e-02,5.510993867016308195e-03,2.872500989822827488e-03
1.119949817657470703e-01,8.074925934462803823e-02,1.213336537611340304e-01,9.838722296070159801e-02,1.525483471598848909e-02,8.320238650715532439e-03,4.400162656068988196e-03
1.180295944213867188e-01,4.908889200960130095e-02,1.471827511811089895e-01,7.253907253945399147e-02,1.670980869944062308e-02,3.885033355927817577e-03,3.292049108162586977e-03
1.280293464660644531e-01,7.312106044131638956e-03,1.465403152084685245e-01,7.346381264600979066e-02,1.813216559948891554e-02,3.273294946320929439e-04,3.347626456693723451e-03
1.340291500091552734e-01,6.860617143707869667e-03,1.340360411568662924e-01,1.150678963933965265e-01,1.816249214284090460e-02,1.261628938660545440e-03,3.262470947769517335e-03
1.440300941467285156e-01,2.978549571575790297e-02,1.401722626555799989e-01,8.081167184549045701e-02,1.943110598715301618e-02,4.089612875141090953e-03,3.637198079514903032e-04
1.499319076538085938e-01,4.783770249307271738e-02,1.700905191735951061e-01,7.025011102934920759e-02,2.169332874244069703e-02,6.179935259816312677e-03,2.770005427664479214e-03
1.602277755737304688e-01,4.402073064290886600e-02,1.766147767148159575e-01,7.918663491795499554e-02,2.388619301320537430e-02,3.943611610341542575e-03,1.861866485117369451e-03
1.665675640106201172e-01,3.426230816785391653e-02,1.935777402344726339e-01,1.443322899706482587e-01,2.542906935461353157e-02,3.492765474041359224e-03,2.391354100359303382e-03
1.760048866271972656e-01,7.046898593290258639e-02,2.380458414914225218e-01,8.086109398469810972e-02,2.955072984422368876e-02,5.557432726902226082e-03,5.612210653845798973e-04
1.820049285888671875e-01,7.565474202990643549e-02,2.400633340685227324e-01,1.298000606630161369e-01,3.068507697118659505e-02,6.902276037638547385e-03,3.070447373184981201e-03
1.920034885406494141e-01,5.328165503231794414e-02,2.210956424610884541e-01,1.983326497015028278e-01,2.843174035569138308e-02,5.308656544226038505e-03,4.785174836099148794e-03
1.980028152465820312e-01,3.047845246363595564e-02,2.504867386559520015e-01,2.012400567484190217e-01,3.221835186942107604e-02,3.221149967848783730e-03,7.079065441762955047e-03
2.080061435699462891e-01,9.109730324756763059e-03,2.376204710820393473e-01,2.055525869784148030e-01,2.978641981108343800e-02,7.552163481166237037e-04,6.885414454443831815e-03
2.140066623687744141e-01,5.905383152262626972e-02,1.877077811071629354e-01,1.967183927432306634e-01,2.429990334491763729e-02,6.375967475886046461e-03,8.538620620412091730e-03
2.238657474517822266e-01,6.588434405657288273e-02,1.898959532236067504e-01,1.880971875921450820e-01,2.556995878489249849e-02,7.816580372460224177e-03,8.527213347304989088e-03
2.318575382232666016e-01,2.643441992640755203e-02,2.146310228793486263e-01,1.728471392397944728e-01,2.853479004882650966e-02,2.555224244688355118e-03,9.474997526440497725e-03
2.398662567138671875e-01,5.067577367815469247e-02,1.300580244460808332e-01,1.609948803345287727e-01,1.628837388818542634e-02,4.371256988666738334e-03,7.204054422768013839e-03
2.468576431274414062e-01,6.296820358109987692e-02,1.003778339622537347e-01,1.174232768767647372e-01,1.404350190900641344e-02,5.459147231304435806e-03,7.426581876793880363e-03
2.558591365814208984e-01,9.539338755351636778e-02,1.370774761281244591e-01,1.620612878016835512e-01,1.882674405154632566e-02,7.833480330779648768e-03,6.837219750558383956e-03
2.618587017059326172e-01,7.837042841192433384e-02,1.950172327628758862e-01,1.841377592432666688e-01,2.410537502399362139e-02,6.819343227105844826e-03,8.967692491261110982e-03
2.719585895538330078e-01,4.413758390136983401e-02,1.749417398353169117e-01,1.653108482021110603e-01,2.250981546790598031e-02,4.546055223112051638e-03,8.959087314876585870e-03
2.779591083526611328e-01,7.807150021564754350e-02,1.538265712566845023e-01,1.458407293614103761e-01,1.874321071406891831e-02,8.222659794048636089e-03,8.894469533899215102e-03
2.880365848541259766e-01,8.945147937120788428e-02,2.121351948672692000e-01,1.828050591693648752e-01,2.538235888920592487e-02,1.121927758763126802e-02,8.463895225010483261e-03
2.940497398376464844e-01,6.214688627291036632e-02,1.504422166244433756e-01,1.709220798302131528e-01,1.841848223341659152e-02,4.845750670171566910e-03,1.242909450541227444e-02
3.041553497314453125e-01,1.245945927654545883e-03,1.673903477141081564e-01,2.381573530783012982e-01,2.133584870498044309e-02,2.393171229468767699e-03,1.368922407032711029e-02
3.101570606231689453e-01,7.430529039693212212e-03,1.911177425019829346e-01,1.971468575886897723e-01,2.382334257199841474e-02,4.127343879617662243e-04,9.052416614272872780e-03
3.206892013549804688e-01,7.453490101981011251e-02,1.874966091686744163e-01,1.656137667368128008e-01,2.358713593370230510e-02,7.625699883217122374e-03,9.324767152143831686e-03
3.360028266906738281e-01,1.193524268658161247e-01,1.435751427893478538e-01,2.263397757545239641e-01,1.738226610934200805e-02,1.192989604989369568e-02,1.185900151627842548e-02
3.429946899414062500e-01,7.163530312323054816e-02,5.842828071323916822e-03,1.827686745435016802e-01,5.787375698490156975e-04,6.789877423676093926e-03,1.008390981528641851e-02
3.519940376281738281e-01,1.012287554153508268e-01,8.026676897437330649e-02,1.600059993122514013e-01,7.552722324878106616e-03,1.144907732910362304e-02,9.554289613963021580e-03
3.579945564270019531e-01,1.110528170108640439e-01,1.306787400749826189e-01,1.384557656920878399e-01,1.451817301063620426e-02,1.333572727673484372e-02,7.943229875329145540e-03
3.689939975738525391e-01,1.287313438006140731e-01,1.237488986791836082e-01,1.285019199009684032e-01,1.453320728224696302e-02,1.651955945407113796e-02,6.370214136195621532e-03
3.750021457672119141e-01,1.746130103104090725e-01,1.303869725023574233e-01,1.870366300581319252e-01,1.418349330345757692e-02,2.049671869371514493e-02,4.233001285914283693e-03
3.839938640594482422e-01,1.255895683400196361e-01,1.794752901090007069e-01,1.329427149869033542e-01,1.739261759458307285e-02,1.508837238297234401e-02,6.131256893820487969e-03
3.900206089019775391e-01,9.026220040736797345e-02,1.573930420283948250e-01,1.459417573376744770e-01,1.485198514887979895e-02,1.028930571112041115e-02,2.324877670373170970e-03
3.999986648559570312e-01,5.450380028847234826e-02,9.925191945263615867e-02,2.273736481230412554e-01,9.451513300076718610e-03,5.386680963789069847e-03,4.462713740692958670e-04
4.070124626159667969e-01,2.406991345972653989e-02,5.428095411076062221e-02,2.327086175803539103e-01,2.356811457478376684e-03,3.188042266128358372e-03,5.398866226261252594e-05
4.164824485778808594e-01,8.649759801469253384e-02,4.144748335944115070e-02,2.142308399286226572e-01,1.927867312963608580e-03,8.462155750755625053e-03,1.362333896571262404e-03
4.234843254089355469e-01,1.276136053857706287e-01,6.660211626629716775e-02,2.255440921492296580e-01,1.005988627414951785e-02,1.057889826068549900e-02,2.010824955425120561e-03
4.314844608306884766e-01,1.347109692576760609e-01,7.164206651206654619e-02,1.085013606292619670e-01,1.163738819327804139e-02,1.397885730029249131e-02,1.876082193474045432e-03
4.384841918945312500e-01,1.604789382591176039e-01,2.540276434241803966e-02,1.988217741233218663e-02,5.076419647776416258e-03,1.657634544019347123e-02,3.849256947427681565e-03
4.479827880859375000e-01,1.626308895922825570e-01,1.299728562210792915e-01,8.637272989945543600e-02,1.834891496560846560e-02,1.658782180976843892e-02,2.895587211845373956e-03
4.539809226989746094e-01,1.370374718287896143e-01,1.570278121877673183e-01,1.142038658911945503e-01,2.133825615874632500e-02,1.534587322738033104e-02,1.400209906065604405e-03
4.639801979064941406e-01,1.111475710035241121e-01,1.913485419190408265e-02,1.277299963670974481e-01,4.493358616216329079e-03,1.229814270799338763e-02,5.897365458617424318e-03
4.699804782867431641e-01,1.240889531209873609e-01,6.542522343982473676e-02,1.381508635015803177e-01,1.101335389116157339e-02,1.340222378710823926e-02,6.015752832357194532e-03
4.799802303314208984e-01,1.727856739993501034e-01,3.274326811023134387e-02,1.021519040775236420e-01,7.622400462823127575e-03,2.130298052755305246e-02,6.090651700999435460e-03
4.869799613952636719e-01,1.561075367021447502e-01,2.677611610731152683e-02,8.466651064813343619e-02,1.761228072179340078e-03,2.108817521646019419e-02,4.494661445579047239e-03
4.969801902770996094e-01,1.179063844065602468e-01,5.192275680052631237e-02,1.579322584350587588e-01,5.643778026924669428e-03,1.757495337856396916e-02,3.560566203247435627e-03
5.029888153076171875e-01,5.470513578930725346e-02,3.402895524970735858e-02,1.255894058537442848e-01,2.887461015589565250e-03,1.216338262801254684e-02,5.655062110355594217e-03
5.119814872741699219e-01,7.510962492871797735e-02,4.964239730726660582e-02,1.705086334864006348e-01,5.154748659074333966e-03,1.340948191269798924e-02,6.583075041620227094e-03
5.185008049011230469e-01,5.364566261776922140e-02,1.043673230629119965e-02,1.160116274393239166e-01,1.762440969606515837e-03,1.258293282247846534e-02,1.013324023931777909e-02
5.279812812805175781e-01,4.883347322163693327e-02,5.313155081860069249e-04,1.396204891170491069e-01,7.856023107434495717e-04,1.087445699369931837e-02,7.598494275468548054e-03
5.349895954132080078e-01,5.303474081411595903e-02,5.984459525648114925e-02,1.199710556142918050e-01,6.522323849752768160e-03,8.626424953478473850e-03,7.291316452527570914e-03
5.439808368682861328e-01,5.334389199316689339e-02,6.474957940158673764e-02,1.845392242590508658e-01,1.008712544107333818e-02,1.245007174123752627e-02,1.173268018276737122e-02
5.599896907806396484e-01,8.606479564236929614e-02,7.215921003504917330e-02,9.530807048201286880e-02,9.380138690189335909e-03,1.615296046849910849e-02,1.060327101931076398e-02
5.659976005554199219e-01,1.036484599569018200e-01,3.216280878906729868e-02,6.735863574544348475e-02,4.816559807038937185e-03,1.783675012034004193e-02,8.004960005362675782e-03
5.760040283203125000e-01,5.926727576139848713e-02,5.309175676266875143e-03,3.856485027184154007e-02,5.287292695310696899e-05,1.363293995367316144e-02,1.011387019700446359e-02
5.833981037139892578e-01,5.865307772253570279e-02,2.486662751393614243e-02,3.833367791385787482e-02,2.109948545871158116e-03,1.364305398154791113e-02,1.065517086735988210e-02
5.923984050750732422e-01,8.333582509702258667e-02,8.828769326163742048e-02,1.406772408415115083e-01,1.116926879688975340e-02,1.498232706120961738e-02,5.453069603954456383e-03
5.983979701995849609e-01,4.638661408118806978e-02,3.504247526234868099e-02,1.203446392397628101e-01,4.739864506178648358e-03,1.047649104633652933e-02,7.699140814058018194e-03
6.080045700073242188e-01,1.639299439627599567e-02,4.788487526815288220e-02,1.656114399626060218e-01,6.990638676795827254e-03,4.299469762330347493e-03,7.468546802096239640e-03
6.150104999542236328e-01,2.531225476265059129e-02,2.704402191065232233e-02,1.972424138252563408e-01,5.186886724120339139e-03,3.464278092542120557e-03,7.378150252054934202e-03
6.235215663909912109e-01,1.570936442263703298e-02,3.081964197581138834e-02,1.375504990332579724e-01,4.520957066233084916e-03,4.801224157086162424e-03,5.398770121385699020e-03
6.305217742919921875e-01,3.019756016880990185e-02,7.273348530708764054e-03,1.806040460666546721e-01,2.044304696844119994e-03,9.337366059819126804e-03,7.407663474562461471e-03
6.405217647552490234e-01,1.673083630157575288e-02,3.257504274297105124e-02,2.230693748182900893e-01,7.053126517021901694e-03,7.829967214212762289e-03,3.425515937558894740e-03
6.455216407775878906e-01,8.228408560823521900e-02,1.311282597372960823e-01,1.497651359253630576e-01,1.897050905436147017e-02,1.590930642246106072e-02,4.384566531252120751e-03
